fecha,producto,precio,stock,ventas,Día de la Semana,Estacionalidad (Festivo)
2025-01-10,Pan Chapla,0.25,144,150,Viernes,No
2025-01-10,Pan Coliza,0.25,192,195,Viernes,No
2025-01-10,Pan Integral,0.25,144,141,Viernes,No
2025-01-10,Pan Caracol,0.25,144,140,Viernes,No
2025-01-10,Pan Hamburguesa,0.4,288,294,Viernes,No
2025-01-10,Cachito,0.25,144,146,Viernes,No
2025-01-10,Pan Manjar,0.3,24,23,Viernes,No
2025-01-10,Leche,4.0,5,5,Viernes,No
2025-01-10,Jamon,2.5,6,6,Viernes,No
2025-01-10,Café,2.0,5,4,Viernes,No
2025-01-10,Queso,3.0,4,2,Viernes,No
2025-01-11,Pan Chabatta,0.25,768,767,Sábado,Sí
2025-01-11,Pan Francés,0.25,648,650,Sábado,Sí
2025-01-11,Pan Yema Largo,0.25,360,368,Sábado,Sí
2025-01-11,Pan Yema Redondo,0.25,360,371,Sábado,Sí
2025-01-11,Pan Chapla,0.25,144,144,Sábado,Sí
2025-01-11,Pan Coliza,0.25,192,200,Sábado,Sí
2025-01-11,Pan Integral,0.25,144,147,Sábado,Sí
2025-01-11,Pan Caracol,0.25,144,150,Sábado,Sí
2025-01-11,Pan Hamburguesa,0.4,288,281,Sábado,Sí
2025-01-11,Cachito,0.25,144,150,Sábado,Sí
2025-01-11,Pan Manjar,0.3,24,22,Sábado,Sí
2025-01-11,Leche,4.0,5,3,Sábado,Sí
2025-01-11,Jamon,2.5,6,6,Sábado,Sí
2025-01-11,Café,2.0,5,7,Sábado,Sí
2025-01-11,Queso,3.0,4,4,Sábado,Sí
2025-01-12,Pan Chabatta,0.25,768,774,Domingo,Sí
2025-01-12,Pan Francés,0.25,648,649,Domingo,Sí
2025-01-12,Pan Yema Largo,0.25,360,374,Domingo,Sí
2025-01-12,Pan Yema Redondo,0.25,360,377,Domingo,Sí
2025-01-12,Pan Chapla,0.25,144,142,Domingo,Sí
2025-01-12,Pan Coliza,0.25,192,190,Domingo,Sí
2025-01-12,Pan Integral,0.25,144,147,Domingo,Sí
2025-01-12,Pan Caracol,0.25,144,143,Domingo,Sí
2025-01-12,Pan Hamburguesa,0.4,288,284,Domingo,Sí
2025-01-12,Cachito,0.25,144,148,Domingo,Sí
2025-01-12,Pan Manjar,0.3,24,28,Domingo,Sí
2025-01-12,Leche,4.0,5,4,Domingo,Sí
2025-01-12,Jamon,2.5,6,4,Domingo,Sí
2025-01-12,Café,2.0,5,5,Domingo,Sí
2025-01-12,Queso,3.0,4,5,Domingo,Sí
2025-01-13,Pan Chabatta,0.25,768,780,Lunes,No
2025-01-13,Pan Francés,0.25,648,643,Lunes,No
2025-01-13,Pan Yema Largo,0.25,360,350,Lunes,No
2025-01-13,Pan Yema Redondo,0.25,360,377,Lunes,No
2025-01-13,Pan Chapla,0.25,144,143,Lunes,No
2025-01-13,Pan Coliza,0.25,192,195,Lunes,No
2025-01-13,Pan Integral,0.25,144,143,Lunes,No
2025-01-13,Pan Caracol,0.25,144,150,Lunes,No
2025-01-13,Pan Hamburguesa,0.4,288,288,Lunes,No
2025-01-13,Cachito,0.25,144,143,Lunes,No
2025-01-13,Pan Manjar,0.3,24,28,Lunes,No
2025-01-13,Leche,4.0,5,6,Lunes,No
2025-01-13,Jamon,2.5,6,4,Lunes,No
2025-01-13,Café,2.0,5,4,Lunes,No
2025-01-13,Queso,3.0,4,2,Lunes,No
2025-01-14,Pan Chabatta,0.25,768,775,Martes,No
2025-01-14,Pan Francés,0.25,648,657,Martes,No
2025-01-14,Pan Yema Largo,0.25,360,380,Martes,No
2025-01-14,Pan Yema Redondo,0.25,360,372,Martes,No
2025-01-14,Pan Chapla,0.25,144,144,Martes,No
2025-01-14,Pan Coliza,0.25,192,191,Martes,No
2025-01-14,Pan Integral,0.25,144,143,Martes,No
2025-01-14,Pan Caracol,0.25,144,148,Martes,No
2025-01-14,Pan Hamburguesa,0.4,288,281,Martes,No
2025-01-14,Cachito,0.25,144,148,Martes,No
2025-01-14,Pan Manjar,0.3,24,22,Martes,No
2025-01-14,Leche,4.0,5,5,Martes,No
2025-01-14,Jamon,2.5,6,6,Martes,No
2025-01-14,Café,2.0,5,7,Martes,No
2025-01-14,Queso,3.0,4,4,Martes,No
2025-01-15,Pan Chabatta,0.25,768,772,Miércoles,No
2025-01-15,Pan Francés,0.25,648,660,Miércoles,No
2025-01-15,Pan Yema Largo,0.25,360,351,Miércoles,No
2025-01-15,Pan Yema Redondo,0.25,360,358,Miércoles,No
2025-01-15,Pan Chapla,0.25,144,144,Miércoles,No
2025-01-15,Pan Coliza,0.25,192,198,Miércoles,No
2025-01-15,Pan Integral,0.25,144,150,Miércoles,No
2025-01-15,Pan Caracol,0.25,144,150,Miércoles,No
2025-01-15,Pan Hamburguesa,0.4,288,297,Miércoles,No
2025-01-15,Cachito,0.25,144,141,Miércoles,No
2025-01-15,Pan Manjar,0.3,24,25,Miércoles,No
2025-01-15,Leche,4.0,5,2,Miércoles,No
2025-01-15,Jamon,2.5,6,4,Miércoles,No
2025-01-15,Café,2.0,5,4,Miércoles,No
2025-01-15,Queso,3.0,4,3,Miércoles,No
2025-01-16,Pan Chabatta,0.25,768,760,Jueves,No
2025-01-16,Pan Francés,0.25,648,650,Jueves,No
2025-01-16,Pan Yema Largo,0.25,360,374,Jueves,No
2025-01-16,Pan Yema Redondo,0.25,360,371,Jueves,No
2025-01-16,Pan Chapla,0.25,144,140,Jueves,No
2025-01-16,Pan Coliza,0.25,192,197,Jueves,No
2025-01-16,Pan Integral,0.25,144,150,Jueves,No
2025-01-16,Pan Caracol,0.25,144,145,Jueves,No
2025-01-16,Pan Hamburguesa,0.4,288,286,Jueves,No
2025-01-16,Cachito,0.25,144,148,Jueves,No
2025-01-16,Pan Manjar,0.3,24,23,Jueves,No
2025-01-16,Leche,4.0,5,6,Jueves,No
2025-01-16,Jamon,2.5,6,4,Jueves,No
2025-01-16,Café,2.0,5,5,Jueves,No
2025-01-16,Queso,3.0,4,2,Jueves,No
2025-01-17,Pan Chabatta,0.25,768,776,Viernes,No
2025-01-17,Pan Francés,0.25,648,650,Viernes,No
2025-01-17,Pan Yema Largo,0.25,360,367,Viernes,No
2025-01-17,Pan Yema Redondo,0.25,360,362,Viernes,No
2025-01-17,Pan Chapla,0.25,144,150,Viernes,No
2025-01-17,Pan Coliza,0.25,192,198,Viernes,No
2025-01-17,Pan Integral,0.25,144,145,Viernes,No
2025-01-17,Pan Caracol,0.25,144,140,Viernes,No
2025-01-17,Pan Hamburguesa,0.4,288,294,Viernes,No
2025-01-17,Cachito,0.25,144,150,Viernes,No
2025-01-17,Pan Manjar,0.3,24,24,Viernes,No
2025-01-17,Leche,4.0,5,6,Viernes,No
2025-01-17,Jamon,2.5,6,4,Viernes,No
2025-01-17,Café,2.0,5,6,Viernes,No
2025-01-17,Queso,3.0,4,5,Viernes,No
2025-01-18,Pan Chabatta,0.25,768,767,Sábado,Sí
2025-01-18,Pan Francés,0.25,648,649,Sábado,Sí
2025-01-18,Pan Yema Largo,0.25,360,370,Sábado,Sí
2025-01-18,Pan Yema Redondo,0.25,360,373,Sábado,Sí
2025-01-18,Pan Chapla,0.25,144,143,Sábado,Sí
2025-01-18,Pan Coliza,0.25,192,200,Sábado,Sí
2025-01-18,Pan Integral,0.25,144,150,Sábado,Sí
2025-01-18,Pan Caracol,0.25,144,150,Sábado,Sí
2025-01-18,Pan Hamburguesa,0.4,288,287,Sábado,Sí
2025-01-18,Cachito,0.25,144,145,Sábado,Sí
2025-01-18,Pan Manjar,0.3,24,27,Sábado,Sí
2025-01-18,Leche,4.0,5,2,Sábado,Sí
2025-01-18,Jamon,2.5,6,5,Sábado,Sí
2025-01-18,Café,2.0,5,7,Sábado,Sí
2025-01-18,Queso,3.0,4,4,Sábado,Sí
2025-01-19,Pan Chabatta,0.25,768,777,Domingo,Sí
2025-01-19,Pan Francés,0.25,648,650,Domingo,Sí
2025-01-19,Pan Yema Largo,0.25,360,374,Domingo,Sí
2025-01-19,Pan Yema Redondo,0.25,360,376,Domingo,Sí
2025-01-19,Pan Chapla,0.25,144,141,Domingo,Sí
2025-01-19,Pan Coliza,0.25,192,192,Domingo,Sí
2025-01-19,Pan Integral,0.25,144,147,Domingo,Sí
2025-01-19,Pan Caracol,0.25,144,141,Domingo,Sí
2025-01-19,Pan Hamburguesa,0.4,288,283,Domingo,Sí
2025-01-19,Cachito,0.25,144,149,Domingo,Sí
2025-01-19,Pan Manjar,0.3,24,26,Domingo,Sí
2025-01-19,Leche,4.0,5,2,Domingo,Sí
2025-01-19,Jamon,2.5,6,6,Domingo,Sí
2025-01-19,Café,2.0,5,7,Domingo,Sí
2025-01-19,Queso,3.0,4,2,Domingo,Sí
2025-01-20,Pan Chabatta,0.25,768,780,Lunes,No
2025-01-20,Pan Francés,0.25,648,644,Lunes,No
2025-01-20,Pan Yema Largo,0.25,360,352,Lunes,No
2025-01-20,Pan Yema Redondo,0.25,360,380,Lunes,No
2025-01-20,Pan Chapla,0.25,144,146,Lunes,No
2025-01-20,Pan Coliza,0.25,192,195,Lunes,No
2025-01-20,Pan Integral,0.25,144,144,Lunes,No
2025-01-20,Pan Caracol,0.25,144,146,Lunes,No
2025-01-20,Pan Hamburguesa,0.4,288,289,Lunes,No
2025-01-20,Cachito,0.25,144,146,Lunes,No
2025-01-20,Pan Manjar,0.3,24,26,Lunes,No
2025-01-20,Leche,4.0,5,2,Lunes,No
2025-01-20,Jamon,2.5,6,4,Lunes,No
2025-01-20,Café,2.0,5,4,Lunes,No
2025-01-20,Queso,3.0,4,5,Lunes,No
2025-01-21,Pan Chabatta,0.25,768,776,Martes,No
2025-01-21,Pan Francés,0.25,648,660,Martes,No
2025-01-21,Pan Yema Largo,0.25,360,380,Martes,No
2025-01-21,Pan Yema Redondo,0.25,360,373,Martes,No
2025-01-21,Pan Chapla,0.25,144,145,Martes,No
2025-01-21,Pan Coliza,0.25,192,196,Martes,No
2025-01-21,Pan Integral,0.25,144,146,Martes,No
2025-01-21,Pan Caracol,0.25,144,146,Martes,No
2025-01-21,Pan Hamburguesa,0.4,288,280,Martes,No
2025-01-21,Cachito,0.25,144,149,Martes,No
2025-01-21,Pan Manjar,0.3,24,24,Martes,No
2025-01-21,Leche,4.0,5,5,Martes,No
2025-01-21,Jamon,2.5,6,4,Martes,No
2025-01-21,Café,2.0,5,7,Martes,No
2025-01-21,Queso,3.0,4,2,Martes,No
2025-01-22,Pan Chabatta,0.25,768,775,Miércoles,No
2025-01-22,Pan Francés,0.25,648,659,Miércoles,No
2025-01-22,Pan Yema Largo,0.25,360,350,Miércoles,No
2025-01-22,Pan Yema Redondo,0.25,360,362,Miércoles,No
2025-01-22,Pan Chapla,0.25,144,145,Miércoles,No
2025-01-22,Pan Coliza,0.25,192,197,Miércoles,No
2025-01-22,Pan Integral,0.25,144,150,Miércoles,No
2025-01-22,Pan Caracol,0.25,144,148,Miércoles,No
2025-01-22,Pan Hamburguesa,0.4,288,294,Miércoles,No
2025-01-22,Cachito,0.25,144,145,Miércoles,No
2025-01-22,Pan Manjar,0.3,24,22,Miércoles,No
2025-01-22,Leche,4.0,5,6,Miércoles,No
2025-01-22,Jamon,2.5,6,4,Miércoles,No
2025-01-22,Café,2.0,5,4,Miércoles,No
2025-01-22,Queso,3.0,4,2,Miércoles,No
2025-01-23,Pan Chabatta,0.25,768,760,Jueves,No
2025-01-23,Pan Francés,0.25,648,650,Jueves,No
2025-01-23,Pan Yema Largo,0.25,360,369,Jueves,No
2025-01-23,Pan Yema Redondo,0.25,360,370,Jueves,No
2025-01-23,Pan Chapla,0.25,144,140,Jueves,No
2025-01-23,Pan Coliza,0.25,192,196,Jueves,No
2025-01-23,Pan Integral,0.25,144,149,Jueves,No
2025-01-23,Pan Caracol,0.25,144,146,Jueves,No
2025-01-23,Pan Hamburguesa,0.4,288,286,Jueves,No
2025-01-23,Cachito,0.25,144,149,Jueves,No
2025-01-23,Pan Manjar,0.3,24,22,Jueves,No
2025-01-23,Leche,4.0,5,6,Jueves,No
2025-01-23,Jamon,2.5,6,6,Jueves,No
2025-01-23,Café,2.0,5,7,Jueves,No
2025-01-23,Queso,3.0,4,5,Jueves,No
2025-01-24,Pan Chabatta,0.25,768,779,Viernes,No
2025-01-24,Pan Francés,0.25,648,650,Viernes,No
2025-01-24,Pan Yema Largo,0.25,360,367,Viernes,No
2025-01-24,Pan Yema Redondo,0.25,360,358,Viernes,No
2025-01-24,Pan Chapla,0.25,144,150,Viernes,No
2025-01-24,Pan Coliza,0.25,192,199,Viernes,No
2025-01-24,Pan Integral,0.25,144,145,Viernes,No
2025-01-24,Pan Caracol,0.25,144,140,Viernes,No
2025-01-24,Pan Hamburguesa,0.4,288,297,Viernes,No
2025-01-24,Cachito,0.25,144,148,Viernes,No
2025-01-24,Pan Manjar,0.3,24,22,Viernes,No
2025-01-24,Leche,4.0,5,2,Viernes,No
2025-01-24,Jamon,2.5,6,4,Viernes,No
2025-01-24,Café,2.0,5,4,Viernes,No
2025-01-24,Queso,3.0,4,5,Viernes,No
2025-01-25,Pan Chabatta,0.25,768,763,Sábado,Sí
2025-01-25,Pan Francés,0.25,648,647,Sábado,Sí
2025-01-25,Pan Yema Largo,0.25,360,373,Sábado,Sí
2025-01-25,Pan Yema Redondo,0.25,360,370,Sábado,Sí
2025-01-25,Pan Chapla,0.25,144,140,Sábado,Sí
2025-01-25,Pan Coliza,0.25,192,198,Sábado,Sí
2025-01-25,Pan Integral,0.25,144,148,Sábado,Sí
2025-01-25,Pan Caracol,0.25,144,148,Sábado,Sí
2025-01-25,Pan Hamburguesa,0.4,288,284,Sábado,Sí
2025-01-25,Cachito,0.25,144,144,Sábado,Sí
2025-01-25,Pan Manjar,0.3,24,22,Sábado,Sí
2025-01-25,Leche,4.0,5,4,Sábado,Sí
2025-01-25,Jamon,2.5,6,4,Sábado,Sí
2025-01-25,Café,2.0,5,7,Sábado,Sí
2025-01-25,Queso,3.0,4,2,Sábado,Sí
2025-01-26,Pan Chabatta,0.25,768,774,Domingo,Sí
2025-01-26,Pan Francés,0.25,648,650,Domingo,Sí
2025-01-26,Pan Yema Largo,0.25,360,373,Domingo,Sí
2025-01-26,Pan Yema Redondo,0.25,360,376,Domingo,Sí
2025-01-26,Pan Chapla,0.25,144,140,Domingo,Sí
2025-01-26,Pan Coliza,0.25,192,190,Domingo,Sí
2025-01-26,Pan Integral,0.25,144,143,Domingo,Sí
2025-01-26,Pan Caracol,0.25,144,140,Domingo,Sí
2025-01-26,Pan Hamburguesa,0.4,288,285,Domingo,Sí
2025-01-26,Cachito,0.25,144,147,Domingo,Sí
2025-01-26,Pan Manjar,0.3,24,27,Domingo,Sí
2025-01-26,Leche,4.0,5,2,Domingo,Sí
2025-01-26,Jamon,2.5,6,4,Domingo,Sí
2025-01-26,Café,2.0,5,5,Domingo,Sí
2025-01-26,Queso,3.0,4,5,Domingo,Sí
2025-01-27,Pan Chabatta,0.25,768,777,Lunes,No
2025-01-27,Pan Francés,0.25,648,648,Lunes,No
2025-01-27,Pan Yema Largo,0.25,360,356,Lunes,No
2025-01-27,Pan Yema Redondo,0.25,360,380,Lunes,No
2025-01-27,Pan Chapla,0.25,144,140,Lunes,No
2025-01-27,Pan Coliza,0.25,192,198,Lunes,No
2025-01-27,Pan Integral,0.25,144,142,Lunes,No
2025-01-27,Pan Caracol,0.25,144,146,Lunes,No
2025-01-27,Pan Hamburguesa,0.4,288,285,Lunes,No
2025-01-27,Cachito,0.25,144,144,Lunes,No
2025-01-27,Pan Manjar,0.3,24,25,Lunes,No
2025-01-27,Leche,4.0,5,3,Lunes,No
2025-01-27,Jamon,2.5,6,4,Lunes,No
2025-01-27,Café,2.0,5,4,Lunes,No
2025-01-27,Queso,3.0,4,2,Lunes,No
2025-01-28,Pan Chabatta,0.25,768,774,Martes,No
2025-01-28,Pan Francés,0.25,648,658,Martes,No
2025-01-28,Pan Yema Largo,0.25,360,377,Martes,No
2025-01-28,Pan Yema Redondo,0.25,360,377,Martes,No
2025-01-28,Pan Chapla,0.25,144,140,Martes,No
2025-01-28,Pan Coliza,0.25,192,193,Martes,No
2025-01-28,Pan Integral,0.25,144,142,Martes,No
2025-01-28,Pan Caracol,0.25,144,150,Martes,No
2025-01-28,Pan Hamburguesa,0.4,288,280,Martes,No
2025-01-28,Cachito,0.25,144,150,Martes,No
2025-01-28,Pan Manjar,0.3,24,22,Martes,No
2025-01-28,Leche,4.0,5,6,Martes,No
2025-01-28,Jamon,2.5,6,4,Martes,No
2025-01-28,Café,2.0,5,7,Martes,No
2025-01-28,Queso,3.0,4,5,Martes,No
2025-01-29,Pan Chabatta,0.25,768,771,Miércoles,No
2025-01-29,Pan Francés,0.25,648,659,Miércoles,No
2025-01-29,Pan Yema Largo,0.25,360,350,Miércoles,No
2025-01-29,Pan Yema Redondo,0.25,360,361,Miércoles,No
2025-01-29,Pan Chapla,0.25,144,147,Miércoles,No
2025-01-29,Pan Coliza,0.25,192,200,Miércoles,No
2025-01-29,Pan Integral,0.25,144,147,Miércoles,No
2025-01-29,Pan Caracol,0.25,144,146,Miércoles,No
2025-01-29,Pan Hamburguesa,0.4,288,296,Miércoles,No
2025-01-29,Cachito,0.25,144,145,Miércoles,No
2025-01-29,Pan Manjar,0.3,24,22,Miércoles,No
2025-01-29,Leche,4.0,5,4,Miércoles,No
2025-01-29,Jamon,2.5,6,6,Miércoles,No
2025-01-29,Café,2.0,5,4,Miércoles,No
2025-01-29,Queso,3.0,4,2,Miércoles,No
2025-01-30,Pan Chabatta,0.25,768,760,Jueves,No
2025-01-30,Pan Francés,0.25,648,650,Jueves,No
2025-01-30,Pan Yema Largo,0.25,360,372,Jueves,No
2025-01-30,Pan Yema Redondo,0.25,360,373,Jueves,No
2025-01-30,Pan Chapla,0.25,144,140,Jueves,No
2025-01-30,Pan Coliza,0.25,192,200,Jueves,No
2025-01-30,Pan Integral,0.25,144,144,Jueves,No
2025-01-30,Pan Caracol,0.25,144,143,Jueves,No
2025-01-30,Pan Hamburguesa,0.4,288,285,Jueves,No
2025-01-30,Cachito,0.25,144,147,Jueves,No
2025-01-30,Pan Manjar,0.3,24,22,Jueves,No
2025-01-30,Leche,4.0,5,5,Jueves,No
2025-01-30,Jamon,2.5,6,6,Jueves,No
2025-01-30,Café,2.0,5,7,Jueves,No
2025-01-30,Queso,3.0,4,3,Jueves,No
2025-01-31,Pan Chabatta,0.25,768,776,Viernes,No
2025-01-31,Pan Francés,0.25,648,654,Viernes,No
2025-01-31,Pan Yema Largo,0.25,360,369,Viernes,No
2025-01-31,Pan Yema Redondo,0.25,360,362,Viernes,No
2025-01-31,Pan Chapla,0.25,144,148,Viernes,No
2025-01-31,Pan Coliza,0.25,192,199,Viernes,No
2025-01-31,Pan Integral,0.25,144,145,Viernes,No
2025-01-31,Pan Caracol,0.25,144,140,Viernes,No
2025-01-31,Pan Hamburguesa,0.4,288,292,Viernes,No
2025-01-31,Cachito,0.25,144,147,Viernes,No
2025-01-31,Pan Manjar,0.3,24,26,Viernes,No
2025-01-31,Leche,4.0,5,4,Viernes,No
2025-01-31,Jamon,2.5,6,6,Viernes,No
2025-01-31,Café,2.0,5,4,Viernes,No
2025-01-31,Queso,3.0,4,5,Viernes,No
2025-02-01,Pan Chabatta,0.25,768,766,Sábado,Sí
2025-02-01,Pan Francés,0.25,648,649,Sábado,Sí
